matnr	maktx	ersda	bstme	werks	lgort	lvorm	labst
000000000000000276	finished prod	20200823		1010	0001		0.000
000000000000000273	RTP-GASS	20200822		R007	171C		0.000
ZSRN-EWM-RAW1	ZSRN-EWM-RAW1	20200820		1020	ROD		0.000
UREA	Urea	20200719		R007	10Q1		0.000
000000000000000269	PIPES	20200819		R007	171C		0.000
000000000000000245	TEST MATERIAL	20200810		R007	171C		0.000
ZSRN-RAW4	ZSRN-RAW4	20200818		1020	0001		0.000
ZSRN-RAW5	ZSRN-RAW5	20200818		1020	0001		0.000
ZSRN-RAW1	ZSRN-RAW1	20200815		1020	0001		0.000
000000000000000264	Raw Mat1	20200815		1010	0001		0.000
000000000000000264	Raw Mat1	20200815		1010	101A		0.000
000000000000000261	Sun light Test Material	20200813		6100	101A		0.000
000000000400000002	Bata Raw Material	20200813		BATA	0001		0.000
000000000000000250	FG250	20200812		1010	101A		0.000
000000000000000251	SF251	20200812		1010	101A		0.000
000000000000000246	WM Testing Material	20200812		WM01	WHSL		0.000
PLANT	Plant	20200811		R007	10Q1		0.000
PESTICIDES	Pesticides	20200811		R007	10Q1		0.000
FERTILIZERS	Fertilizers	20200811		R007	10Q1		0.000
AXE	Axe	20200811		R007	10Q1		0.000
SICKLE	Sickle	20200811		R007	10Q1		0.000
ZSRN-RAW3	ZSRN-RAW3	20200818		1020	0001		0.000
WM01	Test WM material	20200807		WM01	WHSL		0.000
R-176	Test Material - R	20200715		1410	WH01		0.000
R-177	Test Consignment Material	20200804		1410	141B		0.000
000000000000000240	consignment material	20200804		R007	10Q1		0.000
000000000000000237	testing sto237	20200729	KG	1010	101D		0.000
000000000000000236	testing sto236	20200729		1010	101D		0.000
000000000000000235	testing sto235	20200729		1010	101D		0.000
000000000000000234	testing sto234	20200729	KG	1010	101D		0.000
TG13	Horns	20151029		1010	101D		0.000
000000000000000232	scanner 5"	20200724		1710	10Q1		0.000
000000000000000231	LG MONITOR	20200723		R981	101A		0.000
000000000000000217	testing sto1	20200722		1010	101A		0.000
000000000000000216	testing sto	20200722		1210	121A		0.000
ML-STEEL	STEEL	20160609		NL02	YAFS		0.000
ML-STEEL	STEEL	20160609		NL02	YROD		0.000
000000000000000215	MRP Check	20200721		R981	101A		0.000
ZSRN-RAW2	ZSRN-RAW2	20200818		1020	0001		0.000
000000000000000208	FERT	20200718		S981	101A		0.000
000000000000000208	FERT	20200718		R981	101A		0.000
000000000000000207	Component 2	20200718		R981	101A		0.000
000000000000000206	Component 1	20200718		R981	101A		0.000
000000000000000205	STO Material 1 Intra	20200717		S981	101A		0.000
000000000000000205	STO Material 1 Intra	20200717		R981	101A		0.000
000000000000000178	Sickle	20200715		7771	0001	X	0.000
000000000000000204	Material S981	20200716		S981	101A		0.000
000000000000000203	Material R489	20200716		R981	101A		0.000
000000000000000174	B489	20200714		B489	B489		0.000
R-176	Test Material - R	20200715		1410	141A		0.000
000000000000000176	Test Material	20200715		1410	141A		0.000
000000000000000172	dnmsabd	20200714		1010	101A		0.000
MRP_RAW01	MRP Raw Material 01	20170109		L40	L40A		0.000
MRP_RAW01	MRP Raw Material 01	20170109		L30	L30A		0.000
MZ-TG-A20	Bike cover Large	20170202		1710	171A		0.000
MZ-TG-E107	STEPPED DRILL Ø13.99x16.545x20x20x115 IK	20170202		1710	171A		0.000
TG24	Kick Stand	20170202		1710	171A		0.000
MZ-FG-E189	eBike E189	20170202		1710	171A		0.000
MZ-FG-E188	eBike E188	20170202		1710	171A		0.000
MZ-FG-E187	eBike E187	20170202		1710	171A		0.000
MOTORS	Motor	20170201		1710	171A		0.000
SPACE_MAT	Smart phone	20170201		1710	171A		0.000
IBP-322-R	IBP Raw materal for Series 300 item	20170131		L10	L10A		0.000
IBP-321-R	IBP Raw materal for Series 300 item	20170131		L10	L10A		0.000
IBP-312-R	IBP Raw materal for Series 300 item	20170131		L10	L10A		0.000
IBP-311-R	IBP Raw materal for Series 300 item	20170131		L10	L10A		0.000
IBP-302-R	IBP Raw materal for Series 300 item	20170131		L10	L10A		0.000
IBP-301-R	IBP Raw materal for Series 300 item	20170131		L10	L10A		0.000
